method,ochiai,jaccard,gp13,wong1,wong2,wong3,tarantula,ample,RussellRao,SorensenDice,Kulczynski1,SimpleMatching,M1,RogersTanimoto,Hamming,ochiai2,Hamann,dice,Kulczynski2,Sokal,M2,Goodman,Euclid,Anderberg,Zoltar,ER1a,ER1b,ER5a,ER5b,ER5c,gp02,gp03,gp19,min_age,max_age,mean_age,num_args,num_vars,b_length,loc,churn,fault
org.apache.commons.lang.text.StrBuilder$indexOf<Lorg/apache/commons/lang/text/StrMatcher;>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.0,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0,0.246694,0.0,0.181279,0.180198,0.180198,0.111111,0.0454545,0.001207,0.0,0.0526316,0
org.apache.commons.lang.text.StrMatcher$StringMatcher$<init><Ljava/lang/String;>,0.0,0.0,0.0,0.0,0.819188,0.0546798,0.0,0.0285888,0.0,0.0,0.0,0.819188,0.032125,0.795659,0.819188,0.0,0.819188,0.0,0.0,0.831505,0.0,0.0,0.825628,0.0,0.0,0.0,0.0425124,0.0,0.0,0.0,0.327256,0.649336,0.0,0.181279,0.180198,0.180198,0.111111,0.0454545,0.0018105,0.0263158,0.0,0
org.apache.commons.lang.builder.CompareToBuilder$append<[C[C>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.00304136,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0800167,0.386097,0.0,0.851022,0.941914,0.884983,0.222222,0.0909091,0.0187085,0.197368,0.0526316,0
org.apache.commons.lang.text.StrBuilder$startsWith<Ljava/lang/String;>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.0,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0,0.246694,0.0,0.19644,0.326073,0.314191,0.111111,0.0909091,0.0105613,0.131579,0.0526316,0
org.apache.commons.lang.BitField$<init><I>,0.0,0.0,0.0,0.0,0.940959,0.0628079,0.0,0.00851582,0.0,0.0,0.0,0.94096,0.104551,0.93196,0.940959,0.0,0.940959,0.0,0.0,0.945533,0.0,0.0,0.94335,0.0,0.0,0.0,0.0488319,0.0,0.0,0.0,0.158598,0.485492,0.0,0.384311,0.553795,0.536766,0.111111,0.0909091,0.007242,0.118421,0.0526316,0
org.apache.commons.lang.time.FastDateFormat$PaddedNumberField$<init><II>,0.0,0.0,0.0,0.0,0.933579,0.0623153,0.0,0.00973236,0.0,0.0,0.0,0.933579,0.0933579,0.923547,0.933579,0.0,0.933579,0.0,0.0,0.938687,0.0,0.0,0.936249,0.0,0.0,0.0,0.0484489,0.0,0.0,0.0,0.172406,0.500923,0.0,0.820699,0.820462,0.820462,0.222222,0.0681818,0.00452625,0.0657895,0.0526316,0
org.apache.commons.lang.LocaleUtils$isAvailableLocale<Ljava/util/Locale;>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.0,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0,0.246694,0.0,0.142386,0.141254,0.141254,0.111111,0.0227273,0.00090525,0.0,0.0526316,0
org.apache.commons.lang.builder.ToStringStyle$getSummaryObjectStartText<>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.0,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0,0.246694,0.0,0.923533,0.923432,0.923432,0.0,0.0227273,0.0006035,0.0,0.0526316,0
org.apache.commons.lang.Entities$BinaryEntityMap$<init><I>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.0,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0,0.246694,0.0,0.744232,0.743894,0.743894,0.111111,0.0454545,0.00090525,0.0131579,0.157895,0
org.apache.commons.lang.mutable.MutableFloat$decrement<>,0.0,0.0,0.0,0.0,0.99262,0.507389,0.0,0.0,0.0,0.0,0.0,0.99262,0.49631,0.991423,0.99262,0.0,0.99262,0.0,0.0,0.99322,0.0,0.0,0.992933,0.0,0.0,0.0,0.0515128,0.0,0.0,0.0,0.0,0.246694,0.0,0.110745,0.109571,0.109571,0.0,0.0227273,0.0018105,0.0131579,0.210526,0
